"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty_xy [nm]"
1,1,9983.821,39259.675,52.327,241.293,201.084,7.601,19066747.417,11.217
2,1,10252.708,39414.396,167.667,7621.88,0,11.375,42706886.448,5.379
3,1,10475.712,37730.774,243.463,15035.729,0,8.506,23877990.39,4.959
4,1,10386.736,39090.779,276.523,19793.646,0,7.984,21035334.839,4.782
5,1,10583.554,37241.639,169.636,7629.334,0,7.933,20766767.005,4.719
6,1,10636.24,33714.493,136.994,2667.914,130.624,9.589,30344056.405,8.091
7,1,10738.924,35784.991,97.392,1123.356,149.116,2.643,2304861.321,6.208
8,1,10769.366,35418.789,79.973,507.759,229.473,10.004,33028006.58,13.877
9,1,10790.165,36801.921,312.689,28602.131,0,5.057,8438352.254,3.988
10,1,10720.293,38558.145,5.217,118.98,226.869,8.245,22434396.996,3.996
11,1,10803.095,33041.978,199.491,8876.84,0,13.162,57172227.016,6.762
12,1,10992.275,37778.888,160.768,7596.162,0,6.766,15109397.42,4.228
13,1,11179.509,36755.025,198.781,11805.884,0,9.24,28176356.785,4.58
14,1,11277.759,35161.516,81.701,730.341,205.089,7.809,20123558.181,9.082
15,1,11299.38,36027.226,184.305,10989.533,0,6.925,15827043.1,3.999
16,1,11654.994,9573.953,79.286,304.579,20.564,4.933,8030548.308,13.307
17,1,12190.288,9868.064,119.523,884.177,0,4.295,6088667.871,10.247
18,1,21724.189,30577.355,155.643,4479.639,0,16.902,94273712.594,9.455
19,1,22143.626,29749.322,203.069,6591.319,0,5.668,10602820.265,5.911
20,1,22648.059,29476.209,212.874,7527.984,0,7.849,20331398.812,6.463
21,1,22672.309,30153.266,172.26,6200.144,0,5.827,11204539.992,5.035
22,1,23353.244,29133.002,224.12,7257.692,0,6.532,14081354.808,6.618
23,1,23312.324,29805.875,200.028,4946.634,0,8.304,22754200.014,8.265
24,1,23718.575,28958.448,180.768,3990.886,0,6.071,12163941.734,7.245
25,1,24087.179,28957.338,72.528,289.719,77.573,5.179,8851366.181,12.479
26,1,26676.993,13276.1,232.498,10710.599,0,8.503,23859237.673,5.892
27,1,26692.867,12700.71,190.305,8321.28,0,10.439,35963732.83,5.822
28,1,26962.325,13999.222,10.376,92.947,180.13,11.659,44860595.815,6.75
29,1,27104.524,13089.825,191.39,6875.373,0,11.226,41586598.066,7.065
30,1,27211.365,14351.106,196.548,8244.533,0,9.843,31971875.755,5.974
31,1,27450.985,13633.346,264.988,11854.323,0,8.084,21565652.368,6.458
32,1,27480.079,14872.835,60.817,364.417,215.936,8.034,21298382.796,10.346
33,1,27761.095,15211.796,185.394,7044.226,0,7.95,20859501.848,5.614
34,1,28193.42,14759.219,184.751,8624.786,0,10.235,34568242.005,5.38
35,1,28199.503,15710.76,220.265,11341.887,0,9.783,31587024.089,5.566
36,1,28375.568,15039.71,54.497,230.416,218.905,10.562,36816871.165,15.576
37,1,28880.453,16115.476,192.66,6587.804,0,8.732,25160715.894,6.468
38,1,32449.029,26206.78,221.398,6744.335,0,5.697,10711315.438,6.523
39,1,32675.417,26200.08,120.041,1360.282,54.275,6.826,15375464.721,9.273
40,1,33050.506,26460.481,87.161,445.778,65.634,3.696,4508918.318,10.209
41,1,33082.156,27383.231,49.017,127.743,128.67,3.709,4539636.696,11.595
42,1,33278.951,27679.68,6.594,70.006,100.63,8.431,23458285.269,6.155
43,1,33442.322,26806.3,198.363,4682.68,0,8.648,24682256.403,8.703
44,1,33865.769,27323.607,158.762,2730.558,0,5.32,9338655.014,7.51
45,1,34639.637,29437.895,4.375,112.808,106.155,3.245,3474141.929,3.322
46,1,35003.676,29876.738,183.823,5021.207,0,4.274,6027504.521,5.783
47,1,35264.845,30178.141,128.576,2386.407,27.7,4.537,6793286.121,5.996
48,1,35453.53,28045.913,98.18,479.199,63.218,3.421,3863262.004,11.046
49,1,35618.031,27366.225,148.447,1348.971,44.17,1.472,715540.253,8.368
50,1,35605.641,29659.319,167.988,4945.509,0,6.825,15371799.996,5.917
51,1,35636.479,30551.11,144.205,2053.348,0,5.914,11542037.483,8.354
52,1,35819.228,26142.069,235.444,7299.387,0,3.671,4447273.85,6.028
53,1,35917.73,24680.472,35.82,95.034,72.161,3.984,5239236.69,10.163
54,1,35850.832,29052.203,155.954,2615.7,0,3.222,3426626.534,6.665
55,1,35991.578,27709.232,80.892,426.663,81.717,3.604,4286474.499,9.49
56,1,35960.33,28452.915,100.297,921.195,37.009,2.684,2376938.194,7.182
57,1,35952.837,30456.127,143.6,2073.612,0,7.127,16761809.302,8.988
58,1,37189.712,26165.842,197.578,2717.356,0,3.687,4486400.178,8.924
59,2,9945.477,39242.258,98.275,1377.789,133.127,4.536,6789033.592,6.088
60,2,10096.549,38867.014,207.026,13204.409,0,6.51,13984404.905,4.059
61,2,10184.425,38548.814,205.323,12688.798,0,13.725,62170796.702,5.464
62,2,10502.556,33113.927,189.18,5518.395,0,7.833,20246551.645,6.822
63,2,10503.121,37746.944,273.48,18308.913,0,7.936,20786882.871,4.954
64,2,10637.706,37161.648,42.297,134.207,226.808,6.272,12984113.355,11.934
65,2,10754.246,36772.379,230.244,16285.33,0,11.336,42407180.656,4.877
66,2,10729.424,38580.852,181.539,8968.676,0,11.091,40592243.675,5.291
67,2,10800.583,33055.19,228.108,10173.096,0,6.439,13681348.948,5.381
68,2,11221.675,34757.486,169.567,10067.316,0,9.267,28342665.791,4.128
69,2,11201.42,36681.279,177.73,8924.733,0,6.009,11916648.888,4.212
70,2,11284.642,36048.728,190.176,11871.983,0,6.202,12695157.93,3.872
71,2,11600.896,9527.524,4.569,34.466,38.582,4.159,5709357.373,7.155
72,2,21680.92,30583.863,178.822,6067.945,0,4.012,5311725.399,4.959
73,2,21958.341,29824.393,167.14,4449.182,0,11.218,41533504.339,8.071
