"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","chi2","uncertainty_xy [nm]"
1,1,3193.04077,12339.78348,96.23013,499.39076,63.20754,10.7929,10137.51906,20.53203
2,1,3578.34735,13157.56491,244.62655,3573.44163,53.79439,16.00873,16074.41302,25.35342
3,1,3821.57002,13157.69072,77.509,797.55424,93.34317,14.67991,13285.61278,11.90251
4,1,4262.74362,13723.21963,216.90899,2825.83686,82.47554,16.39591,13298.39817,25.8023
5,1,4356.43083,12297.09574,107.61129,3356.08907,69.95182,16.26647,12593.76613,6.3802
6,1,4424.71837,10640.66913,128.80542,1701.09375,59.23372,14.40165,13895.75008,14.26869
7,1,4620.85361,14224.55985,292.50519,7487.44195,57.9789,12.44219,8661.49692,14.40733
8,1,4767.06762,14219.89783,212.39621,3065.24823,82.85192,15.09892,12478.07714,21.37208
9,1,5310.79116,12926.47156,107.82742,1062.92265,88.51186,13.22742,10755.00589,14.90813
10,1,7178.15723,14609.80174,190.3096,4853.9022,54.04596,14.61741,11367.23357,11.24466
11,1,7934.92405,6859.69879,208.9738,1963.44151,64.61133,11.60581,9656.48024,25.03053
12,1,7877.09125,14942.00904,150.87026,1960.05969,76.67265,13.93558,11345.17366,16.18083
13,1,8327.57182,7355.48191,132.91959,3777.29785,108.28203,18.68236,12218.58087,9.07088
14,1,8734.5759,8029.10569,447.32951,22810.93588,0,11.21683,8273.03626,10.58256
15,1,8923.49337,16671.39776,209.85334,1804.98332,76.16706,10.67294,7716.53613,25.3924
16,1,9586.55548,12901.40707,360.5967,11428.45288,27.87201,13.28648,11174.80378,15.09375
17,1,9952.40699,8314.72718,76.1514,226.69717,71.24678,13.28674,14982.26599,33.89729
18,1,9943.81174,9624.78827,107.72909,5442.57995,90.3315,17.51512,10254.0215,4.51237
19,1,10057.15561,13424.78976,82.87586,358.28494,111.45472,14.42201,12204.1836,27.49233
20,1,10079.67995,13613.18816,210.09896,1478.45625,89.62215,15.04192,13754.15021,41.71203
21,1,10159.30071,12401.56968,74.76097,307.832,86.32758,14.87753,16034.94109,27.16176
22,1,10432.36273,16683.69551,237.65318,3036.18648,108.69169,15.2621,10417.79642,26.84522
23,1,10321.25937,18730.83506,130.35405,1416.09561,67.89194,16.20688,19158.35215,19.03135
24,1,10420.47893,13132.48256,173.98015,1327.3132,86.38327,14.29979,12987.9271,30.89189
25,1,10613.60685,14779.83478,125.71037,595.49241,76.43655,11.37822,9236.6755,29.42648
26,1,10611.237,16551.91745,525.52019,39268.62583,0,16.58073,13112.28634,11.67218
27,1,10753.7886,17196.66447,136.66399,2848.01471,93.53161,20.38782,17111.2148,13.20006
28,1,12869.75483,8537.29291,237.87383,3235.67989,57.62333,10.36743,7210.3591,18.289
29,1,13223.4378,20676.18797,114.14836,553.27908,59.62373,12.54176,15268.70427,28.78752
30,1,13505.46582,7440.69427,85.00265,771.9453,87.52264,12.65216,10246.35635,12.75082
31,1,13511.21552,8286.49588,140.01978,6781.95529,101.54726,23.80828,19789.44646,7.12824
32,1,13721.43488,18494.82928,49.51109,143.44284,74.79498,12.94852,13913.75218,24.46674
33,1,13890.32357,19804.21472,69.41092,277.1621,67.2309,13.35034,16267.66802,23.93102
34,1,14214.30949,19519.52694,86.00726,605.76925,76.59879,11.954,10445.38235,15.43356
35,1,14551.08295,18421.542,110.94923,639.52959,75.7778,13.71466,14326.55741,25.80589
36,1,15011.29548,19262.91537,113.16142,1203.58836,77.42889,12.37624,9825.74134,13.7686
37,1,15684.11074,17461.59017,110.66994,924.71824,61.11608,11.65939,11751.61879,15.98967
38,1,17449.15728,14209.53638,136.40929,2283.6662,61.61319,11.69056,8325.32733,10.38961
39,1,17925.57144,13517.03727,173.95449,3602.97956,99.68579,17.76875,13142.84859,14.65987
40,1,19208.04313,12611.4645,491.71336,29897.88506,0,13.37614,10205.08625,11.1984
41,1,19487.64806,14113.60358,107.29629,2080.27164,78.40312,14.86211,13586.77652,8.94388
42,1,23577.7109,20100.9016,160.42745,1486.68411,60.48444,12.25373,11732.69879,20.915
43,1,24261.75154,19673.18059,125.08236,4043.43037,92.52234,19.51014,15947.11058,7.95239
44,2,3193.46497,12331.52278,99.62349,826.41357,58.61925,13.24124,16530.42301,16.31327
45,2,3955.29212,13212.94047,342.28789,12822.40271,5.39083,12.02842,10452.46678,11.53062
46,2,4075.72003,18009.53035,264.42883,4509.04648,45.19159,13.24553,12299.54033,20.00298
47,2,4000.25004,17438.28731,210.12056,1307.77515,75.07342,12.37156,11557.83921,39.22003
48,2,4125.90908,9426.42842,145.58806,1560.65319,60.99785,11.47976,10117.70457,15.96892
49,2,4205.39857,13806.63549,405.825,24526.95365,0,14.9737,12034.58823,10.36363
50,2,4274.56744,18265.27744,350.19594,12010.14852,25.32436,14.15796,12805.97633,14.40967
51,2,4356.98659,12314.34201,94.19597,3452.86548,79.45059,17.82187,17415.09695,5.34845
52,2,4454.43137,10657.98205,114.22489,1350.48615,60.52695,11.16407,9314.33911,11.71569
53,2,4691.00884,8633.41756,114.29464,1010.51662,67.72835,13.12967,13523.14593,17.18002
54,2,4757.05746,14214.15716,317.4695,16822.61644,0,17.81871,15706.97895,10.72706
55,2,5300.02934,12921.64351,120.71076,3163.1304,100.17303,16.76866,13539.51136,8.28557
56,2,6418.39889,14811.62228,111.74958,2961.82816,80.96267,15.62231,12973.73236,7.33081
57,2,6949.55738,13853.61625,134.27006,861.99353,78.25641,11.74862,9107.20144,24.16984
58,2,7138.94631,14661.49498,77.21029,289.57598,89.67042,13.64867,12409.17073,28.21685
59,2,7873.57399,14987.04293,111.4472,608.84912,86.89502,13.88511,13139.05718,27.54816
60,2,8077.63407,7128.74997,178.97708,2537.14694,89.09523,26.98106,30271.65703,31.43628
61,2,8039.62706,8142.92671,330.5191,12948.67071,5.6592,11.88656,8949.59393,10.67683
62,2,8299.30493,7350.62761,125.90447,4247.61715,120.16029,19.14705,13346.61387,7.59581
63,2,8698.5596,14012.26118,393.40311,15261.22028,0,10.22821,8134.36545,11.22903
64,2,8766.39176,16432.82815,139.50632,872.82706,108.02289,19.88547,22198.98478,41.27896
65,2,9232.06955,8789.32469,75.34333,249.32294,77.74635,13.24262,13391.6793,30.2992
66,2,9439.05288,16729.14494,164.85049,2434.84028,75.90175,12.57309,9259.05581,14.34541
67,2,9942.63557,9620.03964,115.05352,6743.63187,75.74813,24.55333,15010.32566,5.24625
68,2,10074.68571,13528.75923,162.39625,1158.1509,96.46048,14.7199,11835.23518,31.72225
69,2,10072.62871,16859.81146,162.10305,2076.38145,67.78833,12.85705,10085.30249,16.35075
70,2,10419.30026,8944.30414,212.25915,2472.49818,68.77798,13.68349,12783.25783,23.95463
71,2,10605.18233,14020.82806,98.02644,503.19606,76.10895,12.60381,12626.5253,23.99404
